"Nome","Prezzo"
"Impasto Alto ""Napoletao""","0,50"
"Doppio Pomodoro, Basilico, Ketchup, Maionese, Tabasco","1,00"
"Impasto Integrale Bio","1,00"
"Impasto Alto ""Napoletao""","1,00"
"Asparagi, Brie, Noci, Grana, Pancetta, Bresaola, Speck,Gorgonzola, Stracchino, Porcini, Salame Piccante, Verdure Singole, Tonno,Formaggi, Mortadella, Scamorza, Mais, Patatine Fritte, Funghi Trifolati, Prosciutto Crudo, Provolone, Fiori di zucca, Scamorza, Pecorino, Salmone","2,00"
"Impasto Kamut Bio","2,00"
"Mozzarella di Bufala","3,00"
