"Nome","Ingredienti","Prezzo"
"Gnocco","Olio exra vergine di oliva bio , origano","2,50"
"Gnocco rosso","Pomodoro san marzano,olio extravergine di oliva bio, origano","2,50"
"Calzone","Pomodoro San Marzano, Mozzarella Fior di Latte, Prosciutto Coto","5,00"
"Calzone Farcito 1","Pomodoro San Marzano, Mozzarella Fior di Latte, Funghi Freschi, Prosciutto Cotto, Carciofi","6,00"
"Calzone Farcito 2","Pomodoro San Marzano, Mozzarella Fior di Latte, Tonno e Cipolla di Trope","6,00"
"Calzone Napoli","Pomodoro San Marzano, Mozzarella Fior di Latte, Ricotta e Salame Piccante Lucano","7,00"
"Kalimero","Pasta di Pizza e Nutella","5,00"
