"Nome","Ingredienti","Prezzo"
"Margherita","Pomodoro San Marzano, Mozzarella Fior di Latte","13,00"
"4 Stagioni","Pomodoro San Marzano, Mozzarella Fior di Latte, Prosciutto Cotto, Carciofini, Funghi Freschi e Salsiccia fresca","15,00"
"Capricciosa","Pomodoro San Marzano, Mozzarella Fior di Latte, Prosciutto Cotto, Carciofi, Funghi Freschi e Olive Nere Denocciolate","18,00"
"Scandinava","Mozzarella Fior di Latte, Panna, Salmone Affumicato e Rucola in Uscita","18,00"
"Sarda","Pomodoro San Marzano, Mozzarella Fior di Latte, Salsiccia, Pecorino","18,00"
"Bologna","Pomodoro San Marzano, Mozzarella Fior di Latte, Prosciutto Crudo, Rucola e scaglie di Grana in Uscita","18,00"
"Molitero","Doppio Pomodoro San Marzano, Salame Piccante Lucano, Ricotta e Spinaci","18,00"
"Verdure","Pomodoro San Marzano, Mozzarella Fior di Latte, Radicchio, Patate, Melanzane, Zucchine, Peperoni e Belga al Forno","20,00"
"Beppe","Pomodoro San Marzano, Mozzarella Fior di Latte, Pancetta Arrotolata , Prosciutto Cotto, Wurstel, Funghi Freschi,Salsiccia e Olive Nere Denocciolate","20,00"
